id,title,director,actors,genre,description,year
2479,Donnie Brasco,Mike Newell,"Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby, James Russo, Anne Heche, Zeljko Ivanek, Gerry Becker, Robert Miano, Brian Tarantina, Rocco Sisto, Zach Grenier, Walt MacPherson, Ronnie Farer, Terry Serpico","Biography, Crime, Drama","An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.",1997
2480,Le dîner de cons,Francis Veber,"Thierry Lhermitte, Jacques Villeret, Francis Huster, Daniel Prévost, Alexandra Vandernoot, Catherine Frot, Benoît Bellal, Jacques Bleu, Philippe Brigaud, Michel Caccia, Laurent Gendron, Mykhaël Georges-Schar, Edgar Givry, Pierre-Arnaud Juin, Daniel Martin",Comedy,"A rich publisher meets a stupid but very kind person. Publisher planned to laugh at him, but it so happened that this person was the only one who stay with him when publisher's life began to crumble.",1998
2481,The Edge,Lee Tamahori,"Anthony Hopkins, Alec Baldwin, Elle Macpherson, Harold Perrineau, Bart the Bear, L.Q. Jones, Kathleen Wilhoite, David Lindstedt, Mark Kiely, Eli Gabay, Larry Musser, Brian Arnold, Bob Boyd, Kelsa Kinsly, Gordon Tootoosis","Action, Adventure, Drama",An intellectual billionaire and two lesser men struggle to band together and survive after getting stranded in the Alaskan wilderness with a blood-thirsty Kodiak Bear hunting them down.,1997
2482,Eve's Bayou,Kasi Lemmons,"Jurnee Smollett-Bell, Meagan Good, Lynn Whitfield, Samuel L. Jackson, Debbi Morgan, Jake Smollett, Ethel Ayler, Diahann Carroll, Vondie Curtis-Hall, Roger Guenveur Smith, Lisa Nicole Carson, Branford Marsalis, Afonda Colbert, Lola Dalferes, Marcus Lyle Brown",Drama,"After a daughter witnesses her father having an affair, she begins a chain reaction that could tear her family apart.",1997
2483,Event Horizon,Paul W.S. Anderson,"Laurence Fishburne, Sam Neill, Kathleen Quinlan, Joely Richardson, Richard T. Jones, Jack Noseworthy, Jason Isaacs, Sean Pertwee, Peter Marinker, Holley Chant, Barclay Wright, Noah Huntley, Robert Jezek","Horror, Sci-Fi, Thriller",A rescue crew investigates a spaceship that disappeared into a black hole and has now returned...with someone or something new on-board.,1997
2484,Face/Off,John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola, Gina Gershon, Dominique Swain, Nick Cassavetes, Harve Presnell, Colm Feore, John Carroll Lynch, CCH Pounder, Robert Wisdom, Margaret Cho, James Denton, Matt Ross","Action, Crime, Sci-Fi","In order to foil a terrorist plot, an FBI agent undergoes a facial transplant surgery and assumes the identity and physical appearance of a terrorist, but the plan turns from bad to worse when the same terrorist impersonates the FBI agent.",1997
2485,Fallen,Gregory Hoblit,"Denzel Washington, John Goodman, Donald Sutherland, Embeth Davidtz, James Gandolfini, Elias Koteas, Gabriel Casseus, Michael J. Pagan, Robert Joy, Frank Medrano, Ronn Munro, Cynthia Hayden, Ray Xifo, Tony Michael Donnelly, Tara Carnes","Action, Crime, Drama","Homicide detective John Hobbes witnesses the execution of serial killer Edgar Reese. Soon after the execution the killings start again, and they are very similar to Reese's style.",1998
2486,Fierce Creatures,"Fred Schepisi, Robert Young","John Cleese, Jamie Lee Curtis, Kevin Kline, Michael Palin, Ronnie Corbett, Carey Lowell, Robert Lindsay, Bille Brown, Derek Griffiths, Cynthia Cleese, Richard Ridings, Maria Aitken, Michael Percival, Fred Evans, Lisa Hogan",Comedy,Zookeepers struggle to deal with the policies of changing directors.,1997
2487,The Fifth Element,Luc Besson,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich, Chris Tucker, Luke Perry, Brion James, Tommy 'Tiny' Lister, Lee Evans, Charlie Creed-Miles, Tricky, John Neville, John Bluthal, Mathieu Kassovitz, Christopher Fairbank","Action, Adventure, Sci-Fi","In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",1997
2488,Fools Rush In,Andy Tennant,"Matthew Perry, Salma Hayek, Jon Tenney, Carlos Gómez, Tomas Milian, Siobhan Fallon Hogan, John Bennett Perry, Stanley DeSantis, Suzanne Snyder, Anne Betancourt, Jill Clayburgh, Angelina Torres, Debby Shively, Mark Adair-Rios, Annie Combs","Comedy, Drama, Romance","After a one night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions.",1997
2489,The Full Monty,Peter Cattaneo,"Robert Carlyle, Mark Addy, Wim Snape, Steve Huison, Tom Wilkinson, Paul Barber, Hugo Speer, Lesley Sharp, Emily Woof, Deirdre Costello, Paul Butterworth, Dave Hill, Bruce Jones, Andrew Livingston, Vinny Dhillon","Comedy, Drama","Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity.",1997
2490,Funny Games,Michael Haneke,"Susanne Lothar, Ulrich Mühe, Arno Frisch, Frank Giering, Stefan Clapczynski, Doris Kunstmann, Christoph Bantzer, Wolfgang Glück, Susanne Meneghel, Monika Zallinger","Crime, Drama, Thriller","Two violent young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement.",1997
2491,G.I. Jane,Ridley Scott,"Demi Moore, Viggo Mortensen, Anne Bancroft, Jason Beghe, Daniel von Bargen, John Michael Higgins, Kevin Gage, David Warshofsky, David Vadim, Morris Chestnut, Josh Hopkins, Jim Caviezel, Boyd Kestner, Angel David, Stephen Ramsey","Action, Drama, War",A female Senator succeeds in enrolling a woman into Combined Reconnaissance Team training where everyone expects her to fail.,1997
2492,The Game,David Fincher,"Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn, Peter Donat, Carroll Baker, Anna Katarina, Armin Mueller-Stahl, Charles Martinet, Scott Hunter McGuire, Florentine Mocanu, Elizabeth Dennehy, Caroline Barclay, Daniel Schorr, John Aprea","Drama, Mystery, Thriller","After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality.",1997
2493,Gattaca,Andrew Niccol,"Ethan Hawke, Uma Thurman, Gore Vidal, Xander Berkeley, Jayne Brook, Elias Koteas, Maya Rudolph, Una Damon, Elizabeth Dennehy, Blair Underwood, Mason Gamble, Vincent Nielson, Chad Christ, William Lee Scott, Clarence Graham","Drama, Sci-Fi, Thriller",A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,1997
2494,The Gingerbread Man,Robert Altman,"Kenneth Branagh, Embeth Davidtz, Robert Downey Jr., Daryl Hannah, Robert Duvall, Tom Berenger, Famke Janssen, Clyde Hayes, Mae Whitman, Jesse James, Troy Byer, Julia Ryder Perce, Danny Darst, Sonny Seiler, Walter Hartridge","Crime, Mystery, Thriller","A lawyer uses his power to help his lover put her father behind bars, but when he escapes, they are all in danger.",1998
2495,Switchback,Jeb Stuart,"Claudia Stedelin, Ian Nelson, Brent Hinkley, R. Lee Ermey, Walton Goggins, Ted Levine, Louis Schaefer, William Fichtner, Jared Leto, Robert L. Somers, Lexie Stuart, Danny Glover, Ted Markland, Gregory Scott Cummins, Tommy Puett","Crime, Mystery, Thriller",An FBI agent tries to catch a serial killer who kidnapped his son.,1997
2496,Good Will Hunting,Gus Van Sant,"Matt Damon, Ben Affleck, Stellan Skarsgård, John Mighton, Rachel Majorowski, Colleen McCauley, Casey Affleck, Cole Hauser, Matt Mercier, Ralph St. George, Rob Lynds, Dan Washington, Alison Folland, Derrick Bridgeman, Vik Sahay","Drama, Romance","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",1997
2497,Great Expectations,Alfonso Cuarón,"Ethan Hawke, Gwyneth Paltrow, Hank Azaria, Chris Cooper, Anne Bancroft, Robert De Niro, Josh Mostel, Kim Dickens, Nell Campbell, Gabriel Mann, Jeremy James Kissner, Raquel Beaudene, Stephen Spinella, Marla Sucharetza, Isabelle Anderson","Drama, Romance",Modernization of Charles Dickens classic story finds the hapless Finn as a painter in New York City pursuing his unrequited and haughty childhood love.,1998
2498,Gridlock'd,Vondie Curtis-Hall,"Tim Roth, Tupac Shakur, Thandie Newton, Charles Fleischer, Howard Hesseman, James Pickens Jr., John Sayles, Eric Payne, Tom Towles, Tom Wright, James Shanta, Jim O'Malley, George Poulos, Debbie Zaricor, Mik Scriba","Comedy, Crime, Drama","Two friends try to kick their drug addiction after a friend dies from an overdose, when they try to enroll in a detox program, things quickly go wrong.",1997
2499,Grosse Pointe Blank,George Armitage,"John Cusack, Minnie Driver, Alan Arkin, Dan Aykroyd, Joan Cusack, Hank Azaria, K. Todd Freeman, Jeremy Piven, Mitchell Ryan, Michael Cudlitz, Benny Urquidez, Duffy Taylor, Audrey Kissel, Carlos Jacott, Brian Powell","Action, Comedy, Crime","Martin Blank is a professional assassin. He is sent on a mission to a small Detroit suburb, Grosse Pointe, and, by coincidence, his ten-year high school reunion party is taking place there at the same time.",1997
2500,Gummo,Harmony Korine,"Jacob Sewell, Nick Sutton, Lara Tosh, Jacob Reynolds, Darby Dougherty, Chloë Sevigny, Carisa Glucksman, Jason Guzak, Casey Guzak, Wendall Carr, James Lawhorn, James Glass, Ellen M. Smith, Charles Matthew Coatney, Harmony Korine","Comedy, Drama","Lonely residents of a tornado-stricken Ohio town wander the deserted landscape trying to fulfill their boring, nihilistic lives.",1997
2501,Hana-bi,Takeshi Kitano,"Takeshi Kitano, Kayoko Kishimoto, Ren Osugi, Susumu Terajima, Tetsu Watanabe, Hakuryû, Yasuei Yakushiji, Tarô Itsumi, Ken'ichi Yajima, Makoto Ashikawa, Yûko Daike, Tsumami Edamame, Yûrei Yanagi, Sujitarô Tamabukuro, Tokio Seki","Crime, Drama, Romance","Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions.",1997
2502,Sydney,Paul Thomas Anderson,"Philip Baker Hall, John C. Reilly, Gwyneth Paltrow, Samuel L. Jackson, F. William Parker, Philip Seymour Hoffman, Nathanael Cooper, Wynn White, Robert Ridgely, Kathleen Campbell, Michael J. Rowe, Peter D'Allesandro, Steve Blane, Xaleese, Melora Walters","Crime, Drama",Professional gambler Sydney teaches John the tricks of the trade. John does well until he falls for cocktail waitress Clementine.,1996
2503,Mrs Brown,John Madden,"Judi Dench, Billy Connolly, Geoffrey Palmer, Antony Sher, Gerard Butler, Richard Pasco, David Westhead, Bridget McConnell, Georgie Glen, Catherine O'Donnell, Sara Stewart, Finty Williams, Claire Nicolson, Hattie Ladbury, Oliver Kent","Biography, Drama, History","When Queen Victoria's husband dies, she finds solace in her trusted servant, Mr. Brown, but their relationship also brings scandal and turmoil.",1997
2504,Hercules,"Ron Clements, John Musker","Tate Donovan, Josh Keaton, Roger Bart, Danny DeVito, James Woods, Susan Egan, Bobcat Goldthwait, Matt Frewer, Rip Torn, Samantha Eggar, Barbara Barrie, Hal Holbrook, Paul Shaffer, Amanda Plummer, Carole Shelley","Animation, Adventure, Comedy",The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.,1997
2505,Hoodlum,Bill Duke,"Laurence Fishburne, Tim Roth, Vanessa Williams, Andy Garcia, Cicely Tyson, Chi McBride, Clarence Williams III, Richard Bradford, William Atherton, Loretta Devine, Queen Latifah, Mike Starr, Beau Starr, Paul Benjamin, Joe Guzaldo","Crime, Drama",Black gangsters in 1930 Harlem fights Dutch Schultz who is trying to horn in on their numbers racket.,1997
2506,Hope Floats,Forest Whitaker,"Sandra Bullock, Harry Connick Jr., Gena Rowlands, Mae Whitman, Michael Paré, Cameron Finley, Kathy Najimy, Bill Cobbs, Connie Ray, Mona Lee Fultz, Sydney Berry, Rachel Snow, Christina Stojanovich, Alissa Alban, Dee Hennigan","Drama, Romance","Birdee Calvert must choose between her morals and her heart after her husband divorces her and a charming young man, who her daughter disapproves of, comes back into her life.",1998
2507,The Horse Whisperer,Robert Redford,"Robert Redford, Kristin Scott Thomas, Sam Neill, Dianne Wiest, Scarlett Johansson, Chris Cooper, Cherry Jones, Ty Hillman, Kate Bosworth, Austin Schwarz, Dustin Schwarz, Jeanette Nolan, Steve Frye, Don Edwards, Jessalyn Gilsig","Drama, Romance, Western",The mother of a severely traumatized daughter enlists the aid of a unique horse trainer to help the girl's equally injured horse.,1998
2508,The Ice Storm,Ang Lee,"Kevin Kline, Joan Allen, Sigourney Weaver, Henry Czerny, Tobey Maguire, Christina Ricci, Elijah Wood, Adam Hann-Byrd, David Krumholtz, Jamey Sheridan, Kate Burton, William Cain, Michael Cumpsty, Maia Danziger, Katie Holmes",Drama,"In suburban New Canaan, Connecticut, 1973, middle class families experimenting with casual sex and substance abuse find their lives beyond their control.",1997
2509,In & Out,Frank Oz,"Kevin Kline, Joan Cusack, Tom Selleck, Matt Dillon, Debbie Reynolds, Wilford Brimley, Bob Newhart, Gregory Jbara, Shalom Harlow, Shawn Hatosy, Zak Orth, Lauren Ambrose, Alexandra Holden, Lewis J. Stadlen, Deborah Rush","Comedy, Romance",A midwestern teacher questions his sexuality after a former student makes a comment about him at the Academy Awards.,1997
2510,In the Company of Men,Neil LaBute,"Aaron Eckhart, Stacy Edwards, Matt Malloy, Michael Martin, Mark Rector, Chris Hayes, Jason Dixie, Emily Cline, Roxanne Butler, Tahirah Essix, Julia Henkel, Sara Pauley, Cheryl Russell, Jasen Savage, Lynette Smith","Comedy, Drama","Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life.",1997
2511,Insomnia,Erik Skjoldbjærg,"Maria Mathiesen, Stellan Skarsgård, Sverre Anker Ousdal, Gisken Armand, Kristian Figenschow, Thor Michael Aamodt, Frode Rasmussen, Bjørn Moan, Maria Bonnevie, Marianne O. Ulrichsen, Bjørn Floberg","Crime, Mystery, Thriller","In a Norwegian city with a 24-hour daylight cycle a Swedish murder investigator has been brought in on a special case. Sleep deprived, he makes a horrible mistake which is discovered by the killer he has been hunting.",1997
2512,Inventing the Abbotts,Pat O'Connor,"Joaquin Phoenix, Billy Crudup, Will Patton, Kathy Baker, Jennifer Connelly, Michael Sutton, Liv Tyler, Joanna Going, Barbara Williams, Alessandro Nivola, Nicole M. Vassallo, Amanda Sherman, Shawn Hatosy, Garrett M. Brown, Julie Benz","Drama, Romance",Two working class brothers court three wealthy and beautiful sisters in a small Illinois town.,1997
2513,The Jackal,Michael Caton-Jones,"Bruce Willis, Richard Gere, Sidney Poitier, Diane Venora, Mathilda May, J.K. Simmons, Richard Lineback, John Cunningham, Jack Black, Tess Harper, Leslie Phillips, Stephen Spinella, Sophie Okonedo, David Hayman, Steve Bassett","Action, Crime, Drama","An imprisoned I.R.A. fighter is freed to help stop a brutal, seemingly ""faceless"" assassin from completing his next job.",1997
2514,Jackie Brown,Quentin Tarantino,"Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda, Michael Keaton, Robert De Niro, Michael Bowen, Chris Tucker, LisaGay Hamilton, Tommy 'Tiny' Lister, Hattie Winston, Sid Haig, Aimee Graham, Ellis Williams, Tangie Ambrose","Crime, Drama, Thriller",A middle-aged woman finds herself in the middle of a huge conflict that will either make her a profit or cost her life.,1997
2515,Karakter,Mike van Diem,"Jan Decleir, Fedja van Huêt, Betty Schuurman, Tamar van den Dop, Victor Löw, Hans Kesting, Lou Landré, Bernard Droog, Frans Vorstman, Fred Goessens, Jasper Gottlieb, Marius Gottlieb, Pavlik Jansen op de Haar, Marisa Van Eyle, Wim Van Der Grijn","Crime, Drama, Mystery","Jacob Katadreuffe lives mute with his mother, has no contact with his father who only works against him and wants to become a lawyer, at all costs.",1997
2516,Kiss the Girls,Gary Fleder,"Morgan Freeman, Ashley Judd, Cary Elwes, Alex McArthur, Tony Goldwyn, Jay O. Sanders, Bill Nunn, Brian Cox, Richard T. Jones, Roma Maffia, Jeremy Piven, Gina Ravera, William Converse-Roberts, Helen Martin, Tatyana Ali","Crime, Drama, Mystery",Police hunting for a serial kidnapper are helped when a victim manages to escape for the first time.,1997
2517,Knockin' on Heaven's Door,Thomas Jahn,"Til Schweiger, Jan Josef Liefers, Thierry van Werveke, Moritz Bleibtreu, Huub Stapel, Leonard Lansink, Ralph Herforth, Cornelia Froboess, Rutger Hauer, Willi Thomczyk, Christiane Paul, Hannes Jaenicke, Vladimir Weigl, Jenny Elvers, Corinna Harfouch","Action, Crime, Comedy","Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",1997
